feature_id,feature_name,category,source_layer,units,raster_dtype,generation_method,neighbourhood_window,nodata_value,expected_landslide_relationship,leakage_risk,inclusion_recommendation
1,elevation,A_terrain,elevation COG,m,float32,Resample 30m COG to 100m grid (bilinear),,-9999,Higher elevation increases exposure but complex relationship,,Include
2,slope,A_terrain,slope COG,degrees,float32,Resample 30m COG to 100m grid (bilinear),,-9999,Strong positive: steeper slopes = higher susceptibility,,Include
3,aspect,A_terrain,aspect COG,degrees,float32,Resample 30m (bilinear),,-9999,"Indirect: south-facing slopes drier, north-facing wetter",,Include (transform to northness/eastness)
4,northness,A_terrain,Derived from aspect,unitless [-1 1],float32,cos(aspect_rad),,-9999,"North-facing slopes retain moisture, potentially more unstable",,Include
5,eastness,A_terrain,Derived from aspect,unitless [-1 1],float32,sin(aspect_rad),,-9999,"East-facing slopes receive morning sun, asymmetric weathering",,Include
6,profile_curvature,A_terrain,Derived from DEM,1/m,float32,Second derivative along max slope direction (3x3),3x3,-9999,"Convex profile = accelerated flow, higher instability",,Include
7,plan_curvature,A_terrain,Derived from DEM,1/m,float32,Second derivative across max slope direction (3x3),3x3,-9999,"Convergent contour = concentrated flow, higher susceptibility",,Include
8,tri,A_terrain,Derived from DEM,m,float32,Mean absolute elevation difference in 3x3 window (Riley 1999),3x3,-9999,Higher terrain ruggedness = more instability,,Include
9,tpi,A_terrain,Derived from DEM,m,float32,Cell minus mean of annular neighbourhood,11x11 (default),-9999,Negative TPI (valleys/concavities) = more water accumulation,,Include
10,local_relief,A_terrain,Derived from DEM,m,float32,Max minus min elevation in circular window,r=500m (5 cells at 100m),-9999,Greater local relief = higher erosion potential,,Include
11,flow_direction,A_terrain,Derived from filled DEM,D8 code,uint8,D8 single-flow direction after pit filling,,255,Routing input; not directly a predictor but used for accumulation,Low,Include (intermediate)
12,flow_accumulation,A_terrain,Derived from flow_direction,cell count,float32,Cumulative upslope contributing area count,,-9999,Higher accumulation = more runoff concentration risk,Low,Include
