requirement_id,requirement_description,capability_classification,current_state,gap_description,required_data_or_tech,feasibility_assessment,safety_disclaimer_rule
REQ-01,Easy identification of landslide-prone zones,Already Available,100m XGBoost static susceptibility raster available for all 20 J&K districts,Currently displayed as raw probability colors without clear high-risk stretch callouts,Existing 100m susceptibility raster + map styling,High (Feasible Now),Highlight relative instability; do not label any zone as 100% immune
REQ-02,Explicit resident risk alerts,UI-Only Improvement,Generic text disclaimers present; no color-coded resident risk advisory cards,Lack of structured Green/Yellow/Orange/Red advisory framework with recommended actions,Existing location risk API + UI advisory component,High (Feasible Now),Must retain "Research Advisory — Not an Official Government Warning"
REQ-03,Road-condition and road-stretch risk scoring,Possible Using Current Data,NH-44 vector layer available; no segment-level aggregated risk score,Landslide susceptibility is mapped to cells but not aggregated into 500m/1km highway segment scores,NH-44 vector + spatial join with 100m susceptibility raster,High (Feasible Now),Score represents slope instability exposure; not structural pavement condition
REQ-04,Pre-monsoon predictive analysis,Requires Additional Processing,24h rainfall proxy scenario available; no long-range seasonal outlook module,Lacks seasonal IMD climatology integration and pre-monsoon preparedness checklists,IMD seasonal rainfall outlooks + historical pre-monsoon landslide density,Medium (Feasible for V2),Label as "Pre-Monsoon Preparedness Outlook"; do not claim exact event dates
REQ-05,Commercial impact assessment,Requires Additional Processing,None,No estimation of economic loss or freight disruption costs from corridor blockades,NH-44 freight volume data + average delay cost formulas,Medium (Feasible for V2),Label as "Estimated Economic Disruption Exposure"
REQ-06,Identification of top beneficiaries,UI-Only Improvement,None,No explicit documentation of who benefits (commuters, NHAI, DDMA, logistics),Synthesis of stakeholder matrix into UI role selector,High (Feasible Now),N/A
REQ-07,Outcome-based product measurement,UI-Only Improvement,Technical ROC-AUC (0.8694) displayed; no outcome-based metrics shown,Lacks metrics tracking route safety decisions, corridor downtime, or inspection efficiency,Outcome framework UI dashboard,High (Feasible Now),N/A
REQ-08,NHAI-specific usefulness,Possible Using Current Data,Statewide district views available; no corridor-specific strip view for NHAI,Lacks chainage kilometer indexing (km 120-190) and maintenance intervention queues,NH-44 vector + chainage alignment + intervention queue UI,High (Feasible Now),Intervention queue is decision-support suggestion; not binding engineering order
REQ-09,Traveller and alternate-route guidance,Possible Using Current Data,Point location check available; no multi-route comparison (e.g. NH-44 vs Mughal Road),Lacks route-level risk aggregation and alternate route comparative scoring,Major roads vector + OSRM/Valhalla routing engine + susceptibility overlay,High (Feasible for V2),Label as "Lower Relative Risk Route"; NEVER label any mountain route as "Safe"
REQ-10,Source-and-destination journey planning,Requires Additional Processing,Single point query available; no origin-destination route search,Lacks geocoding and route polyline risk extraction,MapLibre geocoder + routing API + line-raster intersection,High (Feasible for V2),Journey planning provides relative risk advisory; does not guarantee clear passage
REQ-11,Role-based information presentation,UI-Only Improvement,Single unified dashboard for all users; highly technical by default,Lacks role selector (Traveller vs NHAI vs DDMA vs Researcher),Role-based Information Architecture + Next.js state management,High (Feasible Now),N/A
REQ-12,Multilingual AI and voice assistance,Future Research Item,None,No conversational assistant or voice query capability,LLM integration (Gemini/OpenAI) + RAG on GeoSlide docs + Speech-to-Text,Medium (Phased for V2.5),AI assistant answers must be strictly grounded in verified database; no hallucinations
REQ-13,Better visualisations,UI-Only Improvement,Standard MapLibre raster overlay; dense sidebars,Lacks corridor strip views, chainage heatmaps, and clean risk cards,Tailwind CSS + Chart.js / Recharts + MapLibre custom layers,High (Feasible Now),N/A
REQ-14,Personalised user services,Unsafe to Claim Currently,None,No user login, saved routes, or SMS/email alert subscriptions,NextAuth / Supabase + PostgreSQL + SMS gateway (Twilio/MSG91),Medium (Requires Official Approval),Do not send automated SMS alerts without official state DDMA authorization
REQ-15,Clear communication of meaning and action,UI-Only Improvement,Raw numbers displayed (e.g. Probability 0.72, Anomaly 1.5x),Lacks plain-language explanations (e.g. "High Slope Instability — Postpone Travel"),Advisory text translation dictionary in frontend,High (Feasible Now),N/A
REQ-16,Removal of duplicate and complex interface elements,UI-Only Improvement,Dual district selectors, duplicate layer toggles, repeated status banners,Lacks streamlined layout with collapsible drawers,Frontend component refactoring in Next.js,High (Feasible Now),N/A
