scenario_id,variable_name,literal_value,unit,exact_tracked_source_path,exact_symbol,source_commit,literal_source_value,derivation_formula,derivation_operands,accumulation_window,percentile_basis,scientific_classification,verification_status
S0,R24,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,r24_mm = 0.0,16ec09fd,0.0,N/A (Dry Control Constant),N/A,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S0,R72,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,r72_mm = 0.0,16ec09fd,0.0,N/A (Dry Control Constant),N/A,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S0,API7,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,api7_mm = 0.0,16ec09fd,0.0,N/A (Dry Control Constant),N/A,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S1,R24,25.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p50_24h_mm,16ec09fd,25.0,Direct Empirical Percentile Field,July 24h GPM Grid P50,24h July Monsoon,July Monsoon P50,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S1,R72,45.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S1_MODERATE['r72_mm'],16ec09fd,45.0,Derived Scenario Parameter (P50 72h Storm Scaling),July 72h Monsoon Baseline,72h July Monsoon,July Monsoon P50 Derived,Repository-Defined Climatology Scenario Parameter,VERIFIED_DERIVED_PARAMETER
S1,API7,15.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S1_MODERATE['api7_mm'],16ec09fd,15.0,Derived Scenario Parameter (P50 Antecedent Scaling),July API7 Monsoon Baseline,7-day Antecedent Index,July Monsoon P50 Derived,Repository-Defined Climatology Scenario Parameter,VERIFIED_DERIVED_PARAMETER
S2,R24,75.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_24h_mm,16ec09fd,75.0,Direct Empirical Percentile Field,July 24h GPM Grid P90,24h July Monsoon,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S2,R72,110.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_72h_mm,16ec09fd,110.0,Direct Empirical Percentile Field,July 72h GPM Grid P90,72h July Monsoon,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S2,API7,35.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_api7_mm,16ec09fd,35.0,Direct Empirical Percentile Field,July API7 GPM Grid P90,7-day Antecedent Index,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S3,R24,90.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p95_24h_mm,16ec09fd,90.0,Direct Empirical Percentile Field,July 24h GPM Grid P95,24h July Monsoon,July Monsoon P95,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S3,R72,150.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S3_PROLONGED['r72_mm'],16ec09fd,150.0,Derived Scenario Parameter (P95 Prolonged Storm Total),July 72h Monsoon P95 Target,72h July Monsoon,July Monsoon P95 Derived,Repository-Defined Climatology Scenario Parameter,VERIFIED_DERIVED_PARAMETER
S3,API7,55.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S3_PROLONGED['api7_mm'],16ec09fd,55.0,Derived Scenario Parameter (P95 Antecedent Moisture Target),July API7 Monsoon P95 Target,7-day Antecedent Index,July Monsoon P95 Derived,Repository-Defined Climatology Scenario Parameter,VERIFIED_DERIVED_PARAMETER
