lithology_id,source_lithology_text,normalized_class_name,normalized_class_code,engineering_geology_group,confidence,review_status,notes
1,"ALLUVIUM, MORAINES, HILLWASH & SCREE",UNCONSOLIDATED_QUATERNARY,4,Unconsolidated Sediments / Regolith,High,Draft / Pending Expert Review,Soft/unconsolidated surface deposits
2,AMPHIBOLITE,VOLCANIC_INTRUSIVE,5,Volcanic / Basic Intrusive Rock,High,Draft / Pending Expert Review,Variable weathering resistance
3,ANDESITIC AND BASALTIC LAVA FLOWS,VOLCANIC_INTRUSIVE,5,Volcanic / Basic Intrusive Rock,High,Draft / Pending Expert Review,Variable weathering resistance
4,"ARENACEOUS SLATE, PHYLLITE, CARBONACEOUS PHYLLITE",WEAK_SEDIMENTARY_METAMORPHIC,3,Soft / Fractured Incompetent Rock,High,Draft / Pending Expert Review,High susceptibility to slope failure
5,ARENITE AND GREYWACKE,UNDIFFERENTIATED_GEOLOGY,2,Medium-Strength Sedimentary Rock,Medium,Draft / Pending Expert Review,Broad lithologic classification based on regional context
6,"ARENITE, SHALE WITH PLANT FOSSILS",WEAK_SEDIMENTARY_METAMORPHIC,3,Soft / Fractured Incompetent Rock,High,Draft / Pending Expert Review,High susceptibility to slope failure
7,"ARENITE, SLATE, PHYLLITE WITH GRANITE & GRANITOIDS",WEAK_SEDIMENTARY_METAMORPHIC,3,Soft / Fractured Incompetent Rock,High,Draft / Pending Expert Review,High susceptibility to slope failure
8,ARENITE/GREYWACKE WITH SILTSTONE AND SHALE,UNCONSOLIDATED_QUATERNARY,4,Unconsolidated Sediments / Regolith,High,Draft / Pending Expert Review,Soft/unconsolidated surface deposits
9,AUGEN GNEISS WITH GARNET AND BIOTITE SCHIST,WEAK_SEDIMENTARY_METAMORPHIC,3,Soft / Fractured Incompetent Rock,High,Draft / Pending Expert Review,High susceptibility to slope failure
10,AUGEN GNEISS WIYH ALTERNATE BANDS OF QUARTZITE,HARD_CRYSTALLINE,1,Hard Crystalline Metamorphic / Igneous,High,Draft / Pending Expert Review,High strength rock mass
11,"BASAL GRAVEL, CALCAREOUS LOAMY CLAY AND SILT",UNCONSOLIDATED_QUATERNARY,4,Unconsolidated Sediments / Regolith,High,Draft / Pending Expert Review,Soft/unconsolidated surface deposits
